Main Category,Sub Category,Parameter,Weight,Current Score,Target Score,Gap Score,Severity,Current Observation,Gap Identified,Detailed Gap Analysis,Root Cause,Business Impact,Technical Impact,Risk Level,Recommendation,Alternative Solutions,Recommended Approach,Dependencies,Complexity,Estimated Effort,AI Confidence,Owner,Action Plan,Implementation Plan,Success Criteria,Validation Method,Test Cases,Status,Reviewer Comments,AI Review Notes,Can Software Solve Instead of AI?,AI Really Required?,Can This Become Reusable Software?,Can This Become Configurable Feature?,Can This Be Automated?,Can This Self-Learn?,Can This Self-Evolve?,Can This Self-Test?,Can This Self-Heal?,Can This Be Generated by AI?,Can This Be Reused Elsewhere?,Date Reviewed,Next Review Date,Version,recommendation for AI mdoel from Anthropic AI for this evaluation,Evaluation Phase (Sequence)
VERI AI Intelligence,Knowledge Extraction & Prediction,Predicts User Intent from Historical Usage,3,3,5,2,Medium,"chain-usage-ranking.ts's recency-weighted frequency score is explicitly, self-documented as a deterministic proxy for intent prediction from historical usage ('recommend previous selections... stated in scoring terms'), not a trained ML model.","Prediction is a deterministic proxy, not true historical-pattern learning","The module's own header explicitly disclaims building 'a real prediction/ML learning model' -- this is an honest, well-engineered approximation, not the literal capability the parameter name implies.","Deliberate architectural choice favoring deterministic, auditable logic over ML prediction.",Prediction quality is bounded by recency/frequency alone; cannot capture more complex behavioral patterns a trained model might.,Direct quote from chain-usage-ranking.ts's own header.,Medium,Acceptable as-is for now; revisit if usage data volume grows enough to justify a genuine ML model.,None,Acceptable as-is for now; revisit if usage data volume grows enough to justify a genuine ML model.,None,Medium,1-2 weeks,High,AI Platform Team,Acceptable as-is for now; revisit if usage data volume grows enough to justify a genuine ML model.,Acceptable as-is for now; revisit if usage data volume grows enough to justify a genuine ML model.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
VERI AI Intelligence,Context Reuse Before AI Invocation,Maintains Conversation Continuity Across Sessions,3,3,5,2,Medium,workspace-memory-service.ts's portable memvid capsule (containing recent AI-thread dialogue) plus the conversations/messages schema provide real conversation continuity within a session and across devices via the exported capsule.,"Cross-session continuity depends on the capsule being explicitly exported/imported, not automatic","Continuity works when a user (or the system) moves the memvid capsule between sessions/devices, but there is no confirmed automatic session-to-session context carryover without that explicit step.",Portable-capsule design was chosen deliberately (per its design doc's feasibility finding) over a fully automatic cross-session sync.,Users may lose context continuity if the capsule export/import step is skipped or not surfaced clearly in the UI.,"Confirmed via workspace-memory-service.ts's design intent (portable capsule, not live sync).",Medium,Verify the capsule export/import is triggered automatically at natural session boundaries rather than requiring manual action.,None,Verify the capsule export/import is triggered automatically at natural session boundaries rather than requiring manual action.,None,Medium,1-2 weeks,Medium,AI Platform Team,Verify the capsule export/import is triggered automatically at natural session boundaries rather than requiring manual action.,Verify the capsule export/import is triggered automatically at natural session boundaries rather than requiring manual action.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; medium confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Business Context Capture,Captures Business Context from User Actions,3,3,5,2,Medium,"conversations.contextEntityType/contextEntityId (schema.ts) genuinely links a chat conversation to a real business object (project/policy/pms_issue) at creation time, capturing business context from the user's starting point.","Context capture is passive/manual, not derived from broader user actions","Context is captured when a conversation explicitly starts against an entity, not inferred automatically from the user's general navigation/action history leading up to that point.",Built as a data-linking feature for conversation-starting flows specifically.,Context capture is incomplete for conversations that don't start from an obvious entity link.,Confirmed schema field exists and is described in VERI_CHAT_GOVERNANCE.md's Dynamic Chain discussion.,Medium,"Extend automatic context capture to infer likely contextEntityType/Id from the user's immediately-prior navigation, not just explicit linking.",None,"Extend automatic context capture to infer likely contextEntityType/Id from the user's immediately-prior navigation, not just explicit linking.",None,Medium,1-2 weeks,Medium,AI Platform Team,"Extend automatic context capture to infer likely contextEntityType/Id from the user's immediately-prior navigation, not just explicit linking.","Extend automatic context capture to infer likely contextEntityType/Id from the user's immediately-prior navigation, not just explicit linking.","Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; medium confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Business Context Capture,Converts User Actions into Reusable Metadata,3,3,5,2,Medium,"UMR's row-level automatic registration (Postgres trigger, per ai-os/OS.yaml) is a genuine, verified real-time conversion of DB rows into reusable, queryable metadata with zero manual/AI touch per row.",Table-level onboarding remains manual (duplicate of Knowledge & Metadata row 32's finding),"The row-level mechanism is fully automatic once a table is onboarded, but table onboarding itself requires a manual migration + registry entry first.",Same root cause as Knowledge & Metadata row 32.,Same impact -- coverage gap window for newly added tables.,Same UMR evidence as row 32.,Medium,Same recommendation as row 32: scaffold registry entries alongside new migrations.,None,Same recommendation as row 32: scaffold registry entries alongside new migrations.,None,Medium,1-2 weeks,High,AI Platform Team,Same recommendation as row 32: scaffold registry entries alongside new migrations.,Same recommendation as row 32: scaffold registry entries alongside new migrations.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Business Context Capture,Analyzes Software Data Before Calling AI,3,3,5,2,Medium,"adoption-metrics-service.ts's explicit no-fabrication discipline (real DB aggregation only, hoursSaved returned as null rather than invented) is direct, verified evidence of analyzing real software data before any AI/estimation step is applied.","Discipline is per-feature, not a universal pre-AI-call gate","This careful, honest analysis pattern is demonstrated clearly in adoption-metrics-service.ts, but is not confirmed as a universally-applied gate before every AI invocation across the codebase.",The no-fabrication discipline is a strong cultural norm (visible in multiple files' comments) rather than a single enforced mechanism.,"Low -- the norm appears to be genuinely, consistently followed where checked, though not centrally enforced.",Direct quote and code read of adoption-metrics-service.ts.,Medium,Consider codifying the no-fabrication discipline as a lint rule or shared helper other services must use for estimated/derived figures.,None,Consider codifying the no-fabrication discipline as a lint rule or shared helper other services must use for estimated/derived figures.,None,Medium,1-2 weeks,High,AI Platform Team,Consider codifying the no-fabrication discipline as a lint rule or shared helper other services must use for estimated/derived figures.,Consider codifying the no-fabrication discipline as a lint rule or shared helper other services must use for estimated/derived figures.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Usage-Pattern Learning,Updates UMR from Software Activity,3,3,5,2,Medium,Same UMR row-level automatic-registration trigger evidence as rows 32/99 -- genuinely updates UMR from real software (DB) activity automatically.,Duplicate finding of rows 32/99,"Same as those rows: automatic at row level, manual at table-onboarding level.",Same as rows 32/99.,Same as rows 32/99.,Same UMR evidence.,Medium,Same recommendation as rows 32/99.,None,Same recommendation as rows 32/99.,None,Medium,1-2 weeks,High,AI Platform Team,Same recommendation as rows 32/99.,Same recommendation as rows 32/99.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Usage-Pattern Learning,Learns Frequently Used Workflows,4,4,5,1,Low,"chain-usage-ranking.ts is the strongest, most concretely verified implementation in this entire evaluation slice: real, tested (.test.ts exists), deterministic recency-weighted frequency scoring genuinely used by capability-tree-service.ts to rank Dynamic Chain workflows by actual usage.",Learning limited to Dynamic Chain workflows specifically,"This is a genuine strength for the one workflow type it covers; does not yet extend to other workflow-like surfaces (task templates, saved queries).",Built and scoped for one specific tree requirement (U-D5.B2.S3).,"Low -- the covered surface works well; the gap is coverage breadth, not quality.",Confirmed via direct file read plus existence of chain-usage-ranking.test.ts.,Low,Apply the same tested pattern to task templates and other workflow-like surfaces.,None,Apply the same tested pattern to task templates and other workflow-like surfaces.,None,Medium,1-2 weeks,High,AI Platform Team,Apply the same tested pattern to task templates and other workflow-like surfaces.,Apply the same tested pattern to task templates and other workflow-like surfaces.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Usage-Pattern Learning,Learns Frequently Used Reports,3,2,5,3,High,No frequency-ranking mechanism analogous to chain-usage-ranking.ts was found for savedReports; searched src/lib/services/report-catalog-service.ts and report-engine-service.ts for usage-frequency logic -- none found.,No report-usage learning mechanism,savedReports are tracked as static definitions (counted in adoption-metrics-service.ts) but not ranked/surfaced by actual usage frequency the way Dynamic Chains are.,The chain-usage-ranking pattern was never extended to the reports domain.,"Frequently-used reports are not surfaced preferentially to users, unlike frequently-used workflow chains.",grep for report-usage/frequency logic in report-catalog-service.ts and report-engine-service.ts returned no matches.,High,Apply chain-usage-ranking.ts's exact pattern (recency-weighted frequency scoring) to savedReports.,None,Apply chain-usage-ranking.ts's exact pattern (recency-weighted frequency scoring) to savedReports.,None,Low,3-5 days,High,AI Platform Team,Apply chain-usage-ranking.ts's exact pattern (recency-weighted frequency scoring) to savedReports.,Apply chain-usage-ranking.ts's exact pattern (recency-weighted frequency scoring) to savedReports.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Usage-Pattern Learning,Learns Frequently Used Forms,3,1,5,4,Critical,No frequency-ranking or usage-learning mechanism found for forms; searched src/lib/services for any form-usage tracking equivalent to chain-usage-ranking.ts -- none found.,No form-usage learning mechanism,"Forms have no confirmed usage-tracking or ranking mechanism at all, the weakest evidence found among the three Usage-Pattern Learning sub-parameters (workflows/reports/forms).",Never built; no form-usage-events table or ranking service was located.,Frequently-used forms are never surfaced or pre-filled based on actual usage patterns.,No form-usage evidence found anywhere in src/lib.,Critical,Apply chain-usage-ranking.ts's pattern to form usage once a form-submission-event log exists to rank against.,None,Apply chain-usage-ranking.ts's pattern to form usage once a form-submission-event log exists to rank against.,None,Medium,1-2 weeks,High,AI Platform Team,Apply chain-usage-ranking.ts's pattern to form usage once a form-submission-event log exists to rank against.,Apply chain-usage-ranking.ts's pattern to form usage once a form-submission-event log exists to rank against.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,Usage-Pattern Learning,Learns Frequently Used Calculations,4,2,5,3,High,"src/lib/engines/ (26 files, ~41 of 247 catalogued VCEL engines implemented per project memory) provides real calculation engines, but no usage-frequency tracking/ranking was found for which calculations are actually invoked most often.",No usage-frequency learning for calculations,"Engines exist and execute real calculations, but nothing ranks or surfaces the most-used engines the way chain-usage-ranking.ts does for workflow chains.",The chain-usage-ranking pattern was never extended to the VCEL engine registry.,No data-driven signal to prioritize which of the remaining ~206 un-implemented engines to build next based on actual demand.,Confirmed 26 engine files exist; no usage-ranking logic found referencing them.,High,Log engine invocation events and apply chain-usage-ranking.ts's pattern to prioritize both surfacing and future engine-build order.,None,Log engine invocation events and apply chain-usage-ranking.ts's pattern to prioritize both surfacing and future engine-build order.,None,Medium,1-2 weeks,Medium,AI Platform Team,Log engine invocation events and apply chain-usage-ranking.ts's pattern to prioritize both surfacing and future engine-build order.,Log engine invocation events and apply chain-usage-ranking.ts's pattern to prioritize both surfacing and future engine-build order.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; medium confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Opus 4.8,Phase 5 - AI Quality & Behavior
Software Intelligence,AI-Dependency Reduction,Automatically Improves Predictive Suggestions,3,2,5,3,High,"chain-usage-ranking.ts's scores update automatically as new usage events accrue (a real, if narrow, form of 'automatic improvement'), but this is recalculation of a fixed deterministic formula, not a suggestion quality that improves via feedback/tuning over time.","""Improvement"" is data freshness, not model improvement","Suggestions get more accurate as more usage data accrues (a real benefit), but there is no mechanism that tunes the underlying scoring approach itself based on suggestion-acceptance outcomes.",Deterministic-proxy-first architecture (see AI Engineering Quality row 47) deliberately avoids adaptive/ML tuning.,Suggestion quality has a ceiling set by the fixed recency/frequency formula; it cannot learn a better formula from outcomes.,"Same chain-usage-ranking.ts evidence, cross-referenced with the codebase's stated deterministic-first preference.",High,"If suggestion-acceptance data (row 90's finding) is captured at scale, use it to periodically tune the half-life/weighting constants.",None,"If suggestion-acceptance data (row 90's finding) is captured at scale, use it to periodically tune the half-life/weighting constants.",None,Medium,1-2 weeks,Medium,AI Platform Team,"If suggestion-acceptance data (row 90's finding) is captured at scale, use it to periodically tune the half-life/weighting constants.","If suggestion-acceptance data (row 90's finding) is captured at scale, use it to periodically tune the half-life/weighting constants.","Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; medium confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Software Intelligence,AI-Dependency Reduction,Reduces AI Dependency Through Software Learning,3,4,5,1,Low,"The codebase's well-documented, consistently-applied deterministic-first architecture (confidence-banding.ts, intent-engine.ts, chain-usage-ranking.ts, high-impact-action-detector.ts all explicitly 'no LLM call') is a genuine, verified pattern that reduces AI/LLM dependency for gating and ranking logic specifically.","Reduction is concentrated in gates/ranking, not the full product surface","The deterministic-first discipline is real and consistently applied to safety-critical gates and one ranking use case, but most generative/conversational functionality still depends on LLM calls (llm-client.ts) by necessity.",Deterministic logic is only a substitute for AI where the task is genuinely classifiable/rankable without natural-language understanding; conversational tasks inherently need the LLM.,Low -- this is the correct scope for a deterministic-first strategy; full AI-elimination isn't a realistic goal for a conversational product.,Confirmed via direct reading of multiple gate files' 'no LLM call' header comments.,Low,Continue applying deterministic-first review to any new gate/ranking logic before defaulting to an LLM call.,None,Continue applying deterministic-first review to any new gate/ranking logic before defaulting to an LLM call.,None,Medium,1-2 weeks,High,AI Platform Team,Continue applying deterministic-first review to any new gate/ranking logic before defaulting to an LLM call.,Continue applying deterministic-first review to any new gate/ranking logic before defaulting to an LLM call.,"Feature verified present, tested, and covering the stated scope on re-audit.",Code review + targeted manual/automated test of the new capability.,Exercise the capability end-to-end (e.g. trigger the flow as a real user) and confirm expected behavior/persistence.,Evaluated - Gap Open,,"Evaluated via direct code inspection (grep/read) of compliance-tracker src/lib, src/app/api, and ai-os/ against the stated parameter; high confidence based on evidence directness.",Partial,Partial,Yes,Yes,Yes,No,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 5 - AI Quality & Behavior
Cache & Synchronization,Cache Utilization & Prediction,Effective Browser Cache Utilization,3,3,5,2,Medium,"Same evidence as Memory & Cache rows 3/4: browser-intent-cache.ts is a real, working IndexedDB cache, scoped to VeriComposer only.",Not generalized beyond one feature,See Memory & Cache category findings -- utilization is real but narrow.,"Purpose-built, not generalized",Other screens get no client cache benefit,Duplicate-effort risk if other features build their own caches,Medium,Extract into a shared utility (see Memory & Cache row 3 recommendation),None,Refactor into shared module,None,Medium,1 sprint,Medium,Platform Engineering,Extract into a shared utility (see Memory & Cache row 3 recommendation),Refactor into shared module,Not generalized beyond one feature resolved and verified by grep + code review,grep + code review,Verify: Not generalized beyond one feature,Evaluated - Gap Open,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; grep + code review.",Yes,No,Yes,Yes,Yes,No,No,Partial,Partial,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 4 - Cross-Module & Platform Integration
Cache & Synchronization,Cache Utilization & Prediction,Predictive Cache Management,3,3,5,2,Medium,"browser-intent-cache.ts's recency/frequency ranking (30-day half-life) is a real, tested predictive-cache-management proxy for one feature.","Deterministic proxy only, one feature","Same finding as Memory & Cache row 6 -- documented, honest scope limitation.",Deliberate scope-narrowing decision,Recall quality plateaus below a true contextual model,None -- disclosed limitation,Medium,Track hit-rate metrics before investing further,Contextual bandit model,"Keep proxy, add metrics",None,Low,N/A - already implemented,High,Platform Engineering,Track hit-rate metrics before investing further,"Keep proxy, add metrics","Deterministic proxy only, one feature resolved and verified by grep + code review",grep + code review,"Verify: Deterministic proxy only, one feature",Evaluated - Gap Open,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; grep + code review.",Partial,Yes,Yes,Partial,Partial,Partial,No,Partial,No,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 4 - Cross-Module & Platform Integration
Cache & Synchronization,Cache Utilization & Prediction,Context Cache Reuse Before AI Invocation,3,3,5,2,Medium,"llm-response-cache.ts's callLLMCached/callLLMJsonCached implement genuine reuse-before-invocation (org-scoped SHA-256 cache key over provider+model+prompts, 24h TTL) -- but the file's own header states it existed with zero real callers until one intended call site (VERI FDE task-similarity) was wired, and the live table has 0 rows.",Cache reuse mechanism correct but effectively unused,"The code path that would reuse a cached LLM answer instead of re-invoking the model exists and is correct, but almost nothing in the codebase calls it yet, so AI cost/latency savings are not materializing.",Built ahead of its consumers; adoption lagged the infrastructure,AI spend is higher than necessary for repeat-answer scenarios,"None -- code is correct, just underused",Medium,Audit and wire additional high-repeat call sites (e.g. repeated report narration prompts) into callLLMCached,None,Caller-adoption audit,llm-response-cache.ts,Low,3-5 days,High,Platform Engineering,Audit and wire additional high-repeat call sites (e.g. repeated report narration prompts) into callLLMCached,Caller-adoption audit,Cache reuse mechanism correct but effectively unused resolved and verified by SQL query (row count) + code review,SQL query (row count) + code review,Verify: Cache reuse mechanism correct but effectively unused,Evaluated - Gap Open,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; SQL query (row count) + code review.",Yes,No,Yes,Yes,Yes,No,No,Partial,Partial,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Sonnet 5,Phase 4 - Cross-Module & Platform Integration
Cache & Synchronization,Cache Utilization & Prediction,Cache Hit Ratio,3,2,5,3,High,No hit-ratio metric found for either llm_response_cache or browser-intent-cache; live DB shows 0 rows in llm_response_cache.,No hit-ratio observability (duplicate of Memory & Cache row 13),Same finding restated under Cache & Synchronization.,Instrumentation never added,Cannot make data-driven caching decisions,Silent underperformance undetected,High,Add hit/miss counters (see Memory & Cache row 13),None,Lightweight counter + dashboard,Analytics dashboard,Low,3-5 days,High,Platform Engineering,Add hit/miss counters (see Memory & Cache row 13),Lightweight counter + dashboard,No hit-ratio observability (duplicate of Memory & Cache row 13) resolved and verified by SQL query,SQL query,Verify: No hit-ratio observability (duplicate of Memory & Cache row 13),Evaluated - Gap Open,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; SQL query.",Yes,No,Yes,Yes,Yes,No,No,Partial,Partial,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Sonnet 5,Phase 4 - Cross-Module & Platform Integration
Cache & Synchronization,Cache Integrity & Security,Automatic Cache Invalidation,5,3,5,2,Medium,"llm_response_cache invalidates purely by TTL expiry (24h, purgeExpiredLlmResponseCache) -- time-based, not event-based; no invalidation-on-data-change logic found.",No event-driven invalidation,"A cached LLM answer about business data can outlive a relevant data change for up to 24h, since invalidation is time-based only, not triggered by the underlying record changing.","TTL chosen as the simple, safe default rather than building change-detection",Small risk of a stale AI answer being served for up to 24h after data changes,"None -- documented, deliberate tradeoff (see file header)",Medium,"Shorten TTL for high-volatility data, or add explicit cache-bust on record update for the highest-risk paths",None,Selective TTL tuning by data volatility,llm-response-cache.ts,Low,2-3 days,Medium,Platform Engineering,"Shorten TTL for high-volatility data, or add explicit cache-bust on record update for the highest-risk paths",Selective TTL tuning by data volatility,No event-driven invalidation resolved and verified by grep + code review,grep + code review,Verify: No event-driven invalidation,Evaluated - Gap Open,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; grep + code review.",Yes,No,Yes,Yes,Yes,No,No,Partial,Partial,Yes,Yes,2026-07-16,2026-10-14,v1,Claude Opus 4.8,Phase 4 - Cross-Module & Platform Integration
Cache & Synchronization,Cache Integrity & Security,Offline Cache Support,5,1,5,4,Critical,"No service worker, no Workbox, no offline-capable caching found; searched public/ and src/app/manifest.ts -- manifest.ts only declares a PWA share_target, no service worker registration.",No offline support anywhere in the app,"The app is fully online-only; any network interruption blocks all functionality, with zero cached-page or cached-data fallback.",Never built -- not prioritized against a Next.js SSR/serverless architecture,Users in low-connectivity environments (e.g. field/site staff in FM/construction modules) cannot use the app at all when offline,N/A -- not built,Critical,Scope a minimal offline shell (cached shell + queued writes) for the highest-value mobile/field use cases first,PWA offline caching via next-pwa/Workbox,Start with read-only offline shell for FM/site-diary screens,next-pwa or custom service worker,High,2+ sprints,High,Platform Engineering,Scope a minimal offline shell (cached shell + queued writes) for the highest-value mobile/field use cases first,Start with read-only offline shell for FM/site-diary screens,No offline support anywhere in the app resolved and verified by grep + code review,grep + code review,Verify: No offline support anywhere in the app,Evaluated - Gap Open,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; grep + code review.",Yes,No,Yes,Yes,Yes,No,No,Partial,Partial,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Opus 4.8,Phase 4 - Cross-Module & Platform Integration
Cache & Synchronization,Cache Integrity & Security,Cache Security & Encryption,5,2,5,3,High,browser-intent-cache.ts explicitly documents NOT implementing literal encryption-at-rest (relies solely on IndexedDB's origin isolation); llm_response_cache has no field-level encryption on cached LLM content either.,No encryption at rest for either cache layer,Both cache layers rely on platform-level isolation (browser origin isolation; Supabase Postgres access control) rather than application-level encryption of cached content.,Documented deliberate choice for browser-intent-cache (no safe client-side key source exists); never addressed for llm_response_cache,"Cached content (including business-context prompts/answers) is protected only by DB access controls, not encrypted independently",A DB-level breach would expose cached LLM answers in plaintext,High,Accept current posture for browser cache (correctly reasoned); consider column-level encryption for llm_response_cache if it stores sensitive prompts,Application-level encryption with a KMS-backed key,Risk-accept browser cache; evaluate KMS encryption for llm_response_cache,KMS/secrets manager,Medium,1 sprint,Medium,Platform Engineering,Accept current posture for browser cache (correctly reasoned); consider column-level encryption for llm_response_cache if it stores sensitive prompts,Risk-accept browser cache; evaluate KMS encryption for llm_response_cache,No encryption at rest for either cache layer resolved and verified by grep + code review,grep + code review,Verify: No encryption at rest for either cache layer,Evaluated - Gap Open,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; grep + code review.",Yes,No,Yes,Yes,Yes,No,No,Partial,Partial,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Opus 4.8,Phase 4 - Cross-Module & Platform Integration
Synchronization,Cross-Device Synchronization,Mobile-Web and Desktop-Web Synchronization,3,1,5,4,Critical,"No native mobile or desktop client found in this repo or projexa; this is a web-only Next.js application (with a PWA manifest, not a compiled mobile/desktop app).",No mobile/desktop client exists to synchronize with,"The requirement presumes separate mobile and desktop apps; only a responsive web app + installable PWA exists, so there's no cross-client sync surface at all.",Product is web-first by design; native clients were never built,No offline-capable field/mobile experience; parity question is moot without a client to sync,N/A -- not applicable to current architecture,Critical,"If mobile/desktop clients are ever built, design sync around the existing /api/v1 surface",PWA 'install to home screen' as a lightweight mobile substitute,Treat as out-of-scope until a native client is commissioned,None,High,N/A (no client exists),High,Platform Engineering,N/A - no gap,N/A,No mobile/desktop client exists to synchronize with resolved and verified by grep + code review,grep + code review,Verify: No mobile/desktop client exists to synchronize with,Evaluated - No Gap,,"Evaluated via direct source-code inspection (compliance-tracker/projexa) and, where noted, live Supabase queries against project pcrjmlpuqsbocqfwoxod; grep + code review.",Yes,No,Yes,Yes,Yes,No,No,Partial,Partial,Yes,Yes,2026-07-16,2026-08-16,v1,Claude Sonnet 5,Phase 4 - Cross-Module & Platform Integration
